"mes_trigo","precio_dolar_trigo_ton","precio_COP_trigo_ton","año_impo","impo_canti_miles_ton","fecha_ipc","ipc %","fecha_trm","trm"
"8/1/2001","$ 122"," $  279,034 ","","","2006-08","0.39","8/1/2000"," $  67,805 "
"9/1/2001","$ 122"," $  284,154 ","","","2006-09","0.29","9/1/2000"," $  66,424 "
"10/1/2001","$ 123"," $  286,292 ","","","2006-10","-0.14","10/1/2000"," $  67,474 "
"11/1/2001","$ 125"," $  289,397 ","","","2006-11","0.24","11/1/2000"," $  64,059 "
"12/1/2001","$ 122"," $  282,588 ","","","2006-12","0.23","12/1/2000"," $  67,808 "
"1/1/2002","$ 125"," $  285,192 ","","","2007-01","0.77","1/1/2001"," $  69,512 "
"2/1/2002","$ 123"," $  282,031 ","","","2007-02","1.17","2/1/2001"," $  62,820 "
"3/1/2002","$ 123"," $  279,540 ","","","2007-03","1.21","3/1/2001"," $  70,662 "
"4/1/2002","$ 124"," $  279,991 ","","","2007-04","0.9","4/1/2001"," $  69,696 "
"5/1/2002","$ 121"," $  280,321 ","","","2007-05","0.3","5/1/2001"," $  72,788 "
"6/1/2002","$ 132"," $  311,685 ","","","2007-06","0.12","6/1/2001"," $  69,143 "
"7/1/2002","$ 149"," $  373,578 ","","","2007-07","0.17","7/1/2001"," $  71,437 "
"8/1/2002","$ 161"," $  426,570 ","","","2007-08","-0.13","8/1/2001"," $  70,928 "
"9/1/2002","$ 188"," $  516,792 ","","","2007-09","0.08","9/1/2001"," $  69,832 "
"10/1/2002","$ 190"," $  538,467 ","","","2007-10","0.01","10/1/2001"," $  71,920 "
"11/1/2002","$ 177"," $  484,702 ","","","2007-11","0.47","11/1/2001"," $  69,310 "
"12/1/2002","$ 162"," $  457,086 ","","","2007-12","0.49","12/1/2001"," $  71,490 "
"1/1/2003","$ 150"," $  435,328 ","","","2008-01","1.06","1/1/2002"," $  70,586 "
"2/1/2003","$ 151"," $  445,237 ","","","2008-02","1.51","2/1/2002"," $  64,007 "
"3/1/2003","$ 142"," $  419,616 ","","","2008-03","0.81","3/1/2002"," $  70,688 "
"4/1/2003","$ 139"," $  405,660 ","","","2008-04","0.71","4/1/2002"," $  67,908 "
"5/1/2003","$ 142"," $  405,805 ","","","2008-05","0.93","5/1/2002"," $  71,567 "
"6/1/2003","$ 131"," $  371,320 ","","","2008-06","0.86","6/1/2002"," $  70,834 "
"7/1/2003","$ 132"," $  376,279 ","","","2008-07","0.48","7/1/2002"," $  77,695 "
"8/1/2003","$ 149"," $  426,482 ","","","2008-08","0.19","8/1/2002"," $  82,020 "
"9/1/2003","$ 146"," $  413,572 ","","","2008-09","-0.19","9/1/2002"," $  82,673 "
"10/1/2003","$ 147"," $  424,124 ","","","2008-10","0.35","10/1/2002"," $  87,733 "
"11/1/2003","$ 161"," $  456,692 ","","","2008-11","0.28","11/1/2002"," $  81,940 "
"12/1/2003","$ 166"," $  465,026 ","","","2008-12","0.44","12/1/2002"," $  87,240 "
"1/1/2004","$ 166"," $  457,306 ","","","2009-01","0.59","1/1/2003"," $  90,071 "
"2/1/2004","$ 161"," $  438,649 ","","","2009-02","0.84","2/1/2003"," $  82,615 "
"3/1/2004","$ 166"," $  444,101 ","","","2009-03","0.5","3/1/2003"," $  91,718 "
"4/1/2004","$ 167"," $  439,164 ","","","2009-04","0.32","4/1/2003"," $  87,770 "
"5/1/2004","$ 164"," $  445,205 ","","","2009-05","0.01","5/1/2003"," $  88,541 "
"6/1/2004","$ 155"," $  419,999 ","","","2009-06","-0.06","6/1/2003"," $  84,822 "
"7/1/2004","$ 151"," $  399,740 ","","","2009-07","-0.04","7/1/2003"," $  88,635 "
"8/1/2004","$ 141"," $  367,597 ","","","2009-08","0.04","8/1/2003"," $  88,822 "
"9/1/2004","$ 151"," $  385,453 ","","","2009-09","-0.11","9/1/2003"," $  85,220 "
"10/1/2004","$ 150"," $  387,826 ","","","2009-10","-0.13","10/1/2003"," $  89,092 "
"11/1/2004","$ 157"," $  395,982 ","","","2009-11","-0.07","11/1/2003"," $  85,396 "
"12/1/2004","$ 154"," $  371,892 ","","","2009-12","0.08","12/1/2003"," $  87,003 "
"1/1/2005","$ 154"," $  362,900 ","","","2010-01","0.69","1/1/2004"," $  85,275 "
"2/1/2005","$ 151"," $  353,841 ","","","2010-02","0.83","2/1/2004"," $  78,829 "
"3/1/2005","$ 151"," $  355,380 ","","","2010-03","0.25","3/1/2004"," $  82,799 "
"4/1/2005","$ 141"," $  331,430 ","","","2010-04","0.46","4/1/2004"," $  79,247 "
"5/1/2005","$ 143"," $  335,200 ","","","2010-05","0.1","5/1/2004"," $  84,305 "
